Employee_ID,State,District,Occupation,Industry,Skill_Level,Employment_Type,Gender,Age,Experience_Years,Working_Days,Hours_Per_Day,Total_Hours_Worked,Overtime_Hours,Weekend_Hours,Night_Shift,Minimum_Hourly_Wage,Actual_Hourly_Wage,Expected_Salary,Actual_Salary,Bonus,Legal_Deductions,Illegal_Deductions,PF_Deduction,ESI_Deduction,Attendance_Percentage,Leaves_Taken,Contract_Type,Company_Size,Company_Type,Payslip_Provided,Bank_Payment,Overtime_Paid,Minimum_Wage_Violation,Overtime_Violation,Illegal_Deduction_Violation,Late_Payment,Salary_Delay_Days,Complaint_History,Union_Member,Risk_Score,Wage_Theft,Theft_Type
EMP015001,Tamil Nadu,District Y,Factory Worker,Manufacturing,Skilled,Permanent,Male,60,25,26,8,188,26,7,Yes,260,250,62400,61741,241,1023,0,1574,347,82,0,Monthly,Large,Private,Yes,Yes,Yes,Yes,No,No,No,0,No,Yes,35,Yes,Minimum Wage Violation
EMP015002,Tamil Nadu,District Y,Nurse,Manufacturing,Skilled,Permanent,Male,21,5,26,8,197,16,8,Yes,279,279,63891,64871,2499,784,0,467,283,93,3,Monthly,Large,Contractor,Yes,Yes,Yes,No,No,No,No,0,Yes,Yes,0,No,None
EMP015003,Tamil Nadu,District Y,Teacher,Manufacturing,Skilled,Permanent,Male,23,30,26,8,197,8,4,Yes,594,594,126522,128236,129,498,0,463,748,97,3,Monthly,Large,Government,Yes,Yes,Yes,No,No,No,No,0,Yes,Yes,0,No,None
EMP015004,Tamil Nadu,District Y,Electrician,Manufacturing,Skilled,Permanent,Female,35,13,26,8,199,25,4,Yes,201,201,50049,44637,2403,923,2270,283,29,88,3,Monthly,Large,Government,Yes,Yes,No,No,Yes,Yes,No,0,No,Yes,50,Yes,Multiple Violations
EMP015005,Tamil Nadu,District Y,Electrician,Manufacturing,Skilled,Permanent,Female,52,13,26,8,229,24,0,No,216,216,59832,56536,1931,1484,1350,283,682,80,3,Monthly,Medium,Private,Yes,Yes,Yes,No,No,Yes,No,0,Yes,Yes,20,Yes,Illegal Deduction
EMP015006,Tamil Nadu,District Y,Teacher,Manufacturing,Skilled,Permanent,Male,45,16,26,8,187,17,4,Yes,569,569,125749,127831,1103,966,0,928,537,97,1,Monthly,Small,Private,Yes,Yes,Yes,No,No,No,No,0,Yes,Yes,0,No,None
EMP015007,Tamil Nadu,District Y,Teacher,Manufacturing,Skilled,Permanent,Female,34,12,26,8,225,12,8,No,551,551,137199,138966,1219,855,0,162,773,89,1,Monthly,Large,Private,Yes,Yes,Yes,No,No,No,No,0,No,No,0,No,None
EMP015008,Tamil Nadu,District Y,Teacher,Manufacturing,Skilled,Permanent,Male,58,14,26,8,228,19,7,No,256,246,68096,64933,1250,272,695,38,691,83,0,Monthly,Medium,Government,Yes,Yes,No,Yes,Yes,Yes,Yes,10,No,Yes,100,Yes,Multiple Violations
EMP015009,Tamil Nadu,District Y,Nurse,Manufacturing,Skilled,Permanent,Female,46,24,26,8,207,18,6,Yes,321,321,78003,78784,393,1330,0,552,270,91,1,Monthly,Large,Private,Yes,Yes,Yes,No,No,No,No,0,No,Yes,0,No,None
EMP015010,Tamil Nadu,District Y,Security Guard,Manufacturing,Skilled,Permanent,Female,46,12,26,8,186,22,3,No,166,156,38180,33341,1860,1389,1587,293,526,100,0,Monthly,Large,Contractor,Yes,Yes,No,Yes,Yes,Yes,No,0,No,No,85,Yes,Multiple Violations
EMP015011,Tamil Nadu,District Y,Factory Worker,Manufacturing,Skilled,Permanent,Male,34,20,26,8,223,20,8,Yes,179,179,47077,48830,1229,484,0,1776,239,82,0,Monthly,Medium,Government,Yes,Yes,Yes,No,No,No,No,0,No,No,0,No,None
