Employee_ID,State,District,Occupation,Industry,Skill_Level,Employment_Type,Gender,Age,Experience_Years,Working_Days,Hours_Per_Day,Total_Hours_Worked,Overtime_Hours,Weekend_Hours,Night_Shift,Minimum_Hourly_Wage,Actual_Hourly_Wage,Expected_Salary,Actual_Salary,Bonus,Legal_Deductions,Illegal_Deductions,PF_Deduction,ESI_Deduction,Attendance_Percentage,Leaves_Taken,Contract_Type,Company_Size,Company_Type,Payslip_Provided,Bank_Payment,Overtime_Paid,Minimum_Wage_Violation,Overtime_Violation,Illegal_Deduction_Violation,Late_Payment,Salary_Delay_Days,Complaint_History,Union_Member,Risk_Score,Wage_Theft,Theft_Type
EMP010001,Maharashtra,District X,Delivery Partner,Manufacturing,Skilled,Permanent,Female,39,22,26,8,211,1,0,Yes,185,155,39405,34295,2294,538,1092,1276,233,86,5,Monthly,Small,Contractor,Yes,Yes,Yes,Yes,No,Yes,No,0,Yes,Yes,55,Yes,Multiple Violations
EMP010002,Delhi,District X,Factory Worker,Manufacturing,Skilled,Permanent,Male,21,18,26,8,232,11,2,No,235,208,59690,56833,143,117,2289,998,454,98,2,Monthly,Medium,Contractor,Yes,Yes,Yes,Yes,No,Yes,No,0,Yes,Yes,55,Yes,Multiple Violations
EMP010003,Karnataka,District X,Nurse,Manufacturing,Skilled,Permanent,Male,58,8,26,8,206,2,4,Yes,412,412,86520,87219,2932,845,0,1578,527,82,0,Monthly,Small,Government,Yes,Yes,Yes,No,No,No,No,0,No,Yes,0,No,None
EMP010004,Telangana,District X,Factory Worker,Manufacturing,Skilled,Permanent,Male,48,19,26,8,198,18,8,No,259,242,60606,59923,1906,756,869,478,310,85,2,Monthly,Medium,Government,Yes,Yes,No,Yes,Yes,Yes,Yes,22,No,Yes,100,Yes,Multiple Violations
EMP010005,Karnataka,District X,Electrician,Manufacturing,Skilled,Permanent,Female,20,18,26,8,195,27,3,No,267,238,66483,61770,3010,1120,0,1722,120,100,5,Monthly,Small,Contractor,Yes,Yes,No,Yes,Yes,No,Yes,27,Yes,Yes,80,Yes,Multiple Violations
EMP010006,Kerala,District X,Teacher,Manufacturing,Skilled,Permanent,Female,38,9,26,8,214,5,5,No,460,442,103040,102036,2400,108,0,939,368,82,4,Monthly,Medium,Contractor,Yes,Yes,No,Yes,Yes,No,Yes,23,No,Yes,80,Yes,Multiple Violations
EMP010007,Tamil Nadu,District X,Security Guard,Manufacturing,Skilled,Permanent,Male,35,11,26,8,225,26,2,Yes,122,122,33794,35712,3084,207,0,107,401,88,5,Monthly,Small,Contractor,Yes,Yes,Yes,No,No,No,No,0,No,No,0,No,None
EMP010008,Maharashtra,District X,Factory Worker,Manufacturing,Skilled,Permanent,Female,33,19,26,8,217,25,8,No,147,139,39249,34649,3558,666,1068,936,106,81,5,Monthly,Large,Contractor,Yes,Yes,No,Yes,Yes,Yes,No,0,Yes,No,85,Yes,Multiple Violations
EMP010009,Telangana,District X,Teacher,Manufacturing,Skilled,Permanent,Male,32,25,26,8,186,23,2,No,442,442,102544,104560,2204,161,0,283,335,88,4,Monthly,Small,Contractor,Yes,Yes,Yes,No,No,No,No,0,Yes,No,0,No,None
EMP010010,Kerala,District X,Delivery Partner,Manufacturing,Skilled,Permanent,Female,50,21,26,8,188,30,7,No,171,171,42408,43863,1594,1486,0,1308,85,81,3,Monthly,Large,Private,Yes,Yes,Yes,No,No,No,No,0,No,Yes,0,No,None
EMP010011,Telangana,District X,Teacher,Manufacturing,Skilled,Permanent,Female,20,11,26,8,202,4,3,Yes,435,435,91350,92730,3257,23,0,1669,151,91,4,Monthly,Medium,Contractor,Yes,Yes,Yes,No,No,No,No,0,No,No,0,No,None
EMP010012,Karnataka,District X,Factory Worker,Manufacturing,Skilled,Permanent,Female,20,20,26,8,184,12,0,Yes,189,189,39312,33739,1469,231,1414,1066,269,95,2,Monthly,Large,Private,Yes,Yes,Yes,No,No,Yes,No,0,No,Yes,20,Yes,Illegal Deduction
EMP010013,Tamil Nadu,District X,Teacher,Manufacturing,Skilled,Permanent,Female,26,21,26,8,195,14,7,Yes,492,492,109716,106237,3871,1169,0,800,780,88,0,Monthly,Medium,Contractor,Yes,Yes,Yes,No,No,No,Yes,10,No,No,15,Yes,Delayed Salary
EMP010014,Maharashtra,District X,Factory Worker,Manufacturing,Skilled,Permanent,Male,48,9,26,8,226,15,3,No,254,254,65024,60651,781,808,940,676,785,82,1,Monthly,Large,Contractor,Yes,Yes,Yes,No,No,Yes,No,0,Yes,Yes,20,Yes,Illegal Deduction
EMP010015,Telangana,District X,Delivery Partner,Manufacturing,Skilled,Permanent,Male,45,3,26,8,208,13,5,No,210,210,49140,43231,1908,472,0,198,759,98,0,Monthly,Large,Government,Yes,Yes,Yes,No,No,No,Yes,10,Yes,Yes,15,Yes,Delayed Salary
EMP010016,Delhi,District X,Teacher,Manufacturing,Skilled,Permanent,Male,24,24,26,8,188,10,0,No,484,484,100672,102690,1560,938,0,192,493,84,2,Monthly,Medium,Private,Yes,Yes,Yes,No,No,No,No,0,Yes,Yes,0,No,None
EMP010017,Tamil Nadu,District X,Security Guard,Manufacturing,Skilled,Permanent,Male,57,8,26,8,201,10,1,No,122,112,26962,22704,1392,451,823,1723,426,90,2,Monthly,Small,Private,Yes,Yes,Yes,Yes,No,Yes,No,0,No,No,55,Yes,Multiple Violations
