state,job_category,skill_level,min_wage_day,min_wage_month,max_hours_day,max_hours_week,overtime_multiplier,weekly_off,vda,last_updated
Tamil Nadu,Security Guard,Unskilled,620,16120,8,48,2,1 day/week,Yes,2026
Karnataka,Security Guard,Unskilled,630,16380,8,48,2,1 day/week,Yes,2026
Kerala,Security Guard,Unskilled,640,16640,8,48,2,1 day/week,Yes,2026
Telangana,Security Guard,Unskilled,650,16900,8,48,2,1 day/week,Yes,2026
Maharashtra,Security Guard,Unskilled,660,17160,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Security Guard,Unskilled,670,17420,8,48,2,1 day/week,Yes,2026
Gujarat,Security Guard,Unskilled,680,17680,8,48,2,1 day/week,Yes,2026
Rajasthan,Security Guard,Unskilled,690,17940,8,48,2,1 day/week,Yes,2026
Delhi,Security Guard,Unskilled,700,18200,8,48,2,1 day/week,Yes,2026
West Bengal,Security Guard,Unskilled,710,18460,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Housekeeping,Unskilled,635,16510,8,48,2,1 day/week,Yes,2026
Karnataka,Housekeeping,Unskilled,645,16770,8,48,2,1 day/week,Yes,2026
Kerala,Housekeeping,Unskilled,655,17030,8,48,2,1 day/week,Yes,2026
Telangana,Housekeeping,Unskilled,665,17290,8,48,2,1 day/week,Yes,2026
Maharashtra,Housekeeping,Unskilled,675,17550,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Housekeeping,Unskilled,685,17810,8,48,2,1 day/week,Yes,2026
Gujarat,Housekeeping,Unskilled,695,18070,8,48,2,1 day/week,Yes,2026
Rajasthan,Housekeeping,Unskilled,705,18330,8,48,2,1 day/week,Yes,2026
Delhi,Housekeeping,Unskilled,715,18590,8,48,2,1 day/week,Yes,2026
West Bengal,Housekeeping,Unskilled,725,18850,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Cleaner,Unskilled,650,16900,8,48,2,1 day/week,Yes,2026
Karnataka,Cleaner,Unskilled,660,17160,8,48,2,1 day/week,Yes,2026
Kerala,Cleaner,Unskilled,670,17420,8,48,2,1 day/week,Yes,2026
Telangana,Cleaner,Unskilled,680,17680,8,48,2,1 day/week,Yes,2026
Maharashtra,Cleaner,Unskilled,690,17940,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Cleaner,Unskilled,700,18200,8,48,2,1 day/week,Yes,2026
Gujarat,Cleaner,Unskilled,710,18460,8,48,2,1 day/week,Yes,2026
Rajasthan,Cleaner,Unskilled,720,18720,8,48,2,1 day/week,Yes,2026
Delhi,Cleaner,Unskilled,730,18980,8,48,2,1 day/week,Yes,2026
West Bengal,Cleaner,Unskilled,740,19240,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Factory Worker,Unskilled,665,17290,8,48,2,1 day/week,Yes,2026
Karnataka,Factory Worker,Unskilled,675,17550,8,48,2,1 day/week,Yes,2026
Kerala,Factory Worker,Unskilled,685,17810,8,48,2,1 day/week,Yes,2026
Telangana,Factory Worker,Unskilled,695,18070,8,48,2,1 day/week,Yes,2026
Maharashtra,Factory Worker,Unskilled,705,18330,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Factory Worker,Unskilled,715,18590,8,48,2,1 day/week,Yes,2026
Gujarat,Factory Worker,Unskilled,725,18850,8,48,2,1 day/week,Yes,2026
Rajasthan,Factory Worker,Unskilled,735,19110,8,48,2,1 day/week,Yes,2026
Delhi,Factory Worker,Unskilled,745,19370,8,48,2,1 day/week,Yes,2026
West Bengal,Factory Worker,Unskilled,755,19630,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Electrician,Unskilled,680,17680,8,48,2,1 day/week,Yes,2026
Karnataka,Electrician,Unskilled,690,17940,8,48,2,1 day/week,Yes,2026
Kerala,Electrician,Unskilled,700,18200,8,48,2,1 day/week,Yes,2026
Telangana,Electrician,Unskilled,710,18460,8,48,2,1 day/week,Yes,2026
Maharashtra,Electrician,Unskilled,720,18720,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Electrician,Unskilled,730,18980,8,48,2,1 day/week,Yes,2026
Gujarat,Electrician,Unskilled,740,19240,8,48,2,1 day/week,Yes,2026
Rajasthan,Electrician,Unskilled,750,19500,8,48,2,1 day/week,Yes,2026
Delhi,Electrician,Unskilled,760,19760,8,48,2,1 day/week,Yes,2026
West Bengal,Electrician,Unskilled,770,20020,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Plumber,Unskilled,695,18070,8,48,2,1 day/week,Yes,2026
Karnataka,Plumber,Unskilled,705,18330,8,48,2,1 day/week,Yes,2026
Kerala,Plumber,Unskilled,715,18590,8,48,2,1 day/week,Yes,2026
Telangana,Plumber,Unskilled,725,18850,8,48,2,1 day/week,Yes,2026
Maharashtra,Plumber,Unskilled,735,19110,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Plumber,Unskilled,745,19370,8,48,2,1 day/week,Yes,2026
Gujarat,Plumber,Unskilled,755,19630,8,48,2,1 day/week,Yes,2026
Rajasthan,Plumber,Unskilled,765,19890,8,48,2,1 day/week,Yes,2026
Delhi,Plumber,Unskilled,775,20150,8,48,2,1 day/week,Yes,2026
West Bengal,Plumber,Unskilled,785,20410,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Carpenter,Unskilled,710,18460,8,48,2,1 day/week,Yes,2026
Karnataka,Carpenter,Unskilled,720,18720,8,48,2,1 day/week,Yes,2026
Kerala,Carpenter,Unskilled,730,18980,8,48,2,1 day/week,Yes,2026
Telangana,Carpenter,Unskilled,740,19240,8,48,2,1 day/week,Yes,2026
Maharashtra,Carpenter,Unskilled,750,19500,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Carpenter,Unskilled,760,19760,8,48,2,1 day/week,Yes,2026
Gujarat,Carpenter,Unskilled,770,20020,8,48,2,1 day/week,Yes,2026
Rajasthan,Carpenter,Unskilled,780,20280,8,48,2,1 day/week,Yes,2026
Delhi,Carpenter,Unskilled,790,20540,8,48,2,1 day/week,Yes,2026
West Bengal,Carpenter,Unskilled,800,20800,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Welder,Unskilled,620,16120,8,48,2,1 day/week,Yes,2026
Karnataka,Welder,Unskilled,630,16380,8,48,2,1 day/week,Yes,2026
Kerala,Welder,Unskilled,640,16640,8,48,2,1 day/week,Yes,2026
Telangana,Welder,Unskilled,650,16900,8,48,2,1 day/week,Yes,2026
Maharashtra,Welder,Unskilled,660,17160,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Welder,Unskilled,670,17420,8,48,2,1 day/week,Yes,2026
Gujarat,Welder,Unskilled,680,17680,8,48,2,1 day/week,Yes,2026
Rajasthan,Welder,Unskilled,690,17940,8,48,2,1 day/week,Yes,2026
Delhi,Welder,Unskilled,700,18200,8,48,2,1 day/week,Yes,2026
West Bengal,Welder,Unskilled,710,18460,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Driver,Unskilled,635,16510,8,48,2,1 day/week,Yes,2026
Karnataka,Driver,Unskilled,645,16770,8,48,2,1 day/week,Yes,2026
Kerala,Driver,Unskilled,655,17030,8,48,2,1 day/week,Yes,2026
Telangana,Driver,Unskilled,665,17290,8,48,2,1 day/week,Yes,2026
Maharashtra,Driver,Unskilled,675,17550,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Driver,Unskilled,685,17810,8,48,2,1 day/week,Yes,2026
Gujarat,Driver,Unskilled,695,18070,8,48,2,1 day/week,Yes,2026
Rajasthan,Driver,Unskilled,705,18330,8,48,2,1 day/week,Yes,2026
Delhi,Driver,Unskilled,715,18590,8,48,2,1 day/week,Yes,2026
West Bengal,Driver,Unskilled,725,18850,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Office Assistant,Unskilled,650,16900,8,48,2,1 day/week,Yes,2026
Karnataka,Office Assistant,Unskilled,660,17160,8,48,2,1 day/week,Yes,2026
Kerala,Office Assistant,Unskilled,670,17420,8,48,2,1 day/week,Yes,2026
Telangana,Office Assistant,Unskilled,680,17680,8,48,2,1 day/week,Yes,2026
Maharashtra,Office Assistant,Unskilled,690,17940,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Office Assistant,Unskilled,700,18200,8,48,2,1 day/week,Yes,2026
Gujarat,Office Assistant,Unskilled,710,18460,8,48,2,1 day/week,Yes,2026
Rajasthan,Office Assistant,Unskilled,720,18720,8,48,2,1 day/week,Yes,2026
Delhi,Office Assistant,Unskilled,730,18980,8,48,2,1 day/week,Yes,2026
West Bengal,Office Assistant,Unskilled,740,19240,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Data Entry Operator,Unskilled,665,17290,8,48,2,1 day/week,Yes,2026
Karnataka,Data Entry Operator,Unskilled,675,17550,8,48,2,1 day/week,Yes,2026
Kerala,Data Entry Operator,Unskilled,685,17810,8,48,2,1 day/week,Yes,2026
Telangana,Data Entry Operator,Unskilled,695,18070,8,48,2,1 day/week,Yes,2026
Maharashtra,Data Entry Operator,Unskilled,705,18330,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Data Entry Operator,Unskilled,715,18590,8,48,2,1 day/week,Yes,2026
Gujarat,Data Entry Operator,Unskilled,725,18850,8,48,2,1 day/week,Yes,2026
Rajasthan,Data Entry Operator,Unskilled,735,19110,8,48,2,1 day/week,Yes,2026
Delhi,Data Entry Operator,Unskilled,745,19370,8,48,2,1 day/week,Yes,2026
West Bengal,Data Entry Operator,Unskilled,755,19630,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Receptionist,Unskilled,680,17680,8,48,2,1 day/week,Yes,2026
Karnataka,Receptionist,Unskilled,690,17940,8,48,2,1 day/week,Yes,2026
Kerala,Receptionist,Unskilled,700,18200,8,48,2,1 day/week,Yes,2026
Telangana,Receptionist,Unskilled,710,18460,8,48,2,1 day/week,Yes,2026
Maharashtra,Receptionist,Unskilled,720,18720,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Receptionist,Unskilled,730,18980,8,48,2,1 day/week,Yes,2026
Gujarat,Receptionist,Unskilled,740,19240,8,48,2,1 day/week,Yes,2026
Rajasthan,Receptionist,Unskilled,750,19500,8,48,2,1 day/week,Yes,2026
Delhi,Receptionist,Unskilled,760,19760,8,48,2,1 day/week,Yes,2026
West Bengal,Receptionist,Unskilled,770,20020,8,48,2,1 day/week,Yes,2026
Tamil Nadu,Cook,Unskilled,695,18070,8,48,2,1 day/week,Yes,2026
Karnataka,Cook,Unskilled,705,18330,8,48,2,1 day/week,Yes,2026
Kerala,Cook,Unskilled,715,18590,8,48,2,1 day/week,Yes,2026
Telangana,Cook,Unskilled,725,18850,8,48,2,1 day/week,Yes,2026
Maharashtra,Cook,Unskilled,735,19110,8,48,2,1 day/week,Yes,2026
Andhra Pradesh,Cook,Unskilled,745,19370,8,48,2,1 day/week,Yes,2026
